report_filename,group,script_exists,log_exists,csv_exists,trigger_correct,hash_in_log,status,safe_to_cite,required_action
OPEN_DATA_METHODOLOGY_POSITION.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
PHYSICS_CLARIFICATION_NOTE.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
PHYSICS_FOUNDATIONS.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
LIGO_QUESTION_REPORT.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
LIGO_RELEASE_MASTER_STATUS_REPORT.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Consider consolidating
SOURCE_TRUTH_VERIFICATION.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
SSZ_LIGO_TEST_FRAMEWORK.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
SSZ_PREREGISTERED_HYPOTHESIS.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
ZENODO_RELEASE_SYMLINK_ISSUE_SUMMARY.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
REAL_LIGO_CLAIM_GATE.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
NEXT_PHYSICS_DERIVATION_TASKS.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
OBSERVABLE_BRANCH_TEST_READINESS.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
QNM_TEST_READINESS_REQUIREMENTS.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
BUILD_REPORT.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
DERIVED_FORMULAS_CODE_CONSISTENCY_AUDIT.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
FINAL_PIPELINE_REPRODUCIBILITY_REPORT.md,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
UNIT_NORMALIZATION_AUDIT.md,methodology,TRUE,TRUE,TRUE,N/A,FALSE,PROVENANCE_PLAUSIBLE,YES,Rerun with hash logging
PYTEST_FULL_RUN_REPORT.md,methodology,N/A,N/A,N/A,N/A,N/A,PROVENANCE_VERIFIED,YES,Keep
REAL_LIGO_HDF5_ACCESS_REPORT.md,methodology,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
REAL_LIGO_PRODUCT_INVENTORY.md,methodology,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
REAL_TEST_VERIFICATION_MASTER_REPORT.md,methodology,TRUE,TRUE,FALSE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
QNM_3PCT_SENSITIVITY_FINAL_REPORT.md,qnm,TRUE,TRUE,TRUE,N/A,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
QNM_RINGDOWN_INJECTION_SENSITIVITY_REPORT.md,qnm,TRUE,TRUE,TRUE,N/A,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
PHASE_5_RF_TEST_RESULT.md,qnm,TRUE,TRUE,TRUE,FALSE,FALSE,PROVENANCE_LIMITED,NO,Used posterior data (not SSZ-clean)
PHASE_5_RF_TEST_FINAL_RESULT.md,qnm,TRUE,TRUE,TRUE,FALSE,FALSE,PROVENANCE_LIMITED,NO,Used posterior data (not SSZ-clean)
GAUSSIANITY_ARTIFACT_GATE_REPORT.md,artifact_gate,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
SUBBAND_GAUSSIANITY_REPORT.md,artifact_gate,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
GW250207_ARTIFACT_GATE_REPORT.md,artifact_gate,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
GW250207_ARTIFACT_GATE_COMPARISON.md,artifact_gate,TRUE,TRUE,FALSE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
CALIBRATION_PSD_SENSITIVITY_REPORT.md,psd,TRUE,TRUE,FALSE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
ROBUST_MULTIWINDOW_PSD_REPORT.md,psd,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
DQ_STATE_VECTOR_BIT_PROVENANCE_REPORT.md,audit,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
PHASE_RANDOMIZATION_NULL_REPORT.md,audit,TRUE,TRUE,TRUE,UNKNOWN,FALSE,PROVENANCE_PLAUSIBLE,AFTER_RERUN,Rerun with hash logging
FINAL_EXECUTION_REPORT.md,invalid,N/A,N/A,N/A,FALSE,N/A,INVALID,NO,Already marked PARTIALLY_INVALID
AUDIT_STOP.txt,invalid,N/A,N/A,N/A,FALSE,N/A,INVALID,NO,Already marked INVALID_PRIOR_AUDIT_FINDING
INVALID.txt,invalid,N/A,N/A,N/A,N/A,N/A,INVALID,NO,Already invalidated
SUPPRESSED.txt,invalid,N/A,N/A,N/A,N/A,N/A,INVALID,NO,Already invalidated
CIRCULAR.txt,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
MISSING.txt,methodology,N/A,N/A,N/A,N/A,N/A,METHODOLOGY_DOC,YES,Keep
